id, 14:1 (g), 16:1 (g), 18:1 (g), 20:1 (g), 18:2 n-6 (g), 18:3 n-3 (g), 20:4 (g), 20:5 (g), 22:5 (g), 22:6 (g), 18:1t (g), 18:2t (g),
130, , Tr, 0.12, Tr, 0.04, Tr, , , , , Tr, ,
131, , 0.04, 2.38, 0.02, 2.29, 0.19, , , , , 0.49, 0.14,
132, , , 2.73, 0.05, 5.58, 0.57, , , , , , 0.04,
133, , 0.02, 0.01, , 0.05, 0.21, , , , , , ,
136, , 0.01, 0.47, Tr, 0.72, 0.05, Tr, , , , , ,
138, , , 0.03, , 0.09, 0.01, , , , , , Tr,
141, 0.03, 0.08, 2.92, , 3.67, 0.36, , , , , 0.63, 0.12,
151, , , 0.28, Tr, 0.61, 0.07, , , , , , Tr,
153, , Tr, 0.02, , 0.11, 0.09, , , Tr, , , ,
154, , , 0.22, , 0.20, 0.01, , , , , Tr, Tr,
155, , , 0.04, , 0.07, 0.26, , , , , , ,
156, , 0.02, 0.05, , 0.12, 0.25, , , , , , ,
159, , Tr, 0.09, Tr, 0.17, 0.02, , , , , Tr, Tr,
163, , 0.20, 4.12, 0.02, 1.29, 0.08, , , , , , ,
166, , , 0.11, , 0.10, 0.02, , , , , , ,
167, , 0.07, 1.88, Tr, 0.30, 0.02, , , , , , ,
168, , 0.08, 1.93, , 0.35, 0.02, , , , , , ,
173, , , 0.03, 0.01, 0.07, 0.01, , , , , , ,
174, , , 0.01, , 0.06, 0.04, , , , , , ,
191, , , 0.02, , 0.07, 0.03, , , , , , ,
192, , 0.01, 0.20, , 0.03, 0.09, , , , , , ,
193, , Tr, 0.13, Tr, 0.01, 0.03, , , , , Tr, ,
196, , , 0.02, , 0.01, 0.02, , , , , , ,
197, , , 0.03, , 0.23, Tr, , , , , , ,
200, , , 0.04, , 0.26, Tr, , , , , , ,
201, , , 0.08, , 0.01, 0.02, , , , , , ,
204, , Tr, 0.07, , Tr, 0.02, , , , , , ,
207, , Tr, 0.10, , 0.06, 0.29, , , , , , ,
221, , Tr, 0.02, , 0.04, 0.01, , , , , , ,
223, , 0.67, 24.57, 0.04, 6.18, 0.30, , , , , , ,
228, , 0.04, 0.05, Tr, 0.02, 0.02, , , , , , ,
230, , 0.03, 0.05, , 0.01, 0.02, , , , , , ,
231, , 0.04, 0.04, Tr, Tr, 0.04, , , , , Tr, ,
232, , Tr, 0.28, , 0.92, 0.02, , , , , , ,
242, , Tr, 0.02, Tr, 0.05, 0.01, , , , , , ,
246, , , 0.03, , 0.08, 0.04, , , , , , ,
250, , Tr, 0.18, Tr, 0.02, 0.02, , , , , Tr, ,
253, , , 9.62, 0.06, 0.30, 0.58, , , , , , ,
259, , 0.14, 39.86, 0.24, 15.69, 0.83, , , , , , 0.14,
260, , 1.09, 74.01, 0.25, 8.74, 0.75, , , , , , ,
261, 0.81, 0.98, 17.94, 0.13, 0.89, 0.27, , , , , 2.50, 0.80,
262, 0.78, 0.98, 19.80, 0.12, 1.22, 0.27, , , , , 2.31, 0.51,
263, , 0.05, 17.87, 0.28, 19.48, 1.74, , , , , 8.69, 1.30,
265, , 0.06, 14.70, 0.26, 24.85, 2.64, , , , , 0.09, 0.24,
266, , 0.05, 14.07, 0.25, 23.79, 2.58, , , , , 0.12, 0.20,
267, , , 18.51, 0.25, 27.17, 2.86, , , , , , 0.19,
