id, 14:1 (g), 16:1 (g), 18:1 (g), 20:1 (g), 18:2 n-6 (g), 18:3 n-3 (g), 20:4 (g), 20:5 (g), 22:5 (g), 22:6 (g), 18:1t (g), 18:2t (g),
458, 0.01, 0.03, 0.65, , 0.04, 0.02, , , Tr, Tr, , ,
459, 0.15, 0.56, 6.25, 0.05, 0.41, 0.10, , , , , 0.84, 0.10,
461, 0.16, 0.39, 5.14, 0.04, 0.28, 0.06, 0.02, , , , 0.54, 0.12,
462, 0.23, 0.46, 4.82, , 0.24, 0.10, , , , , 0.99, ,
463, 0.22, 0.43, 5.22, , 0.31, 0.08, , , , , 0.86, ,
464, 0.32, 0.63, 7.67, 0.03, 0.29, 0.11, 0.03, , , , 1.01, 0.16,
465, 0.23, 0.49, 6.45, 0.05, 0.33, 0.08, , , , , 0.85, 0.18,
466, 0.02, 0.05, 0.76, , 0.04, 0.01, , , , , 0.09, ,
467, 0.27, 0.51, 5.91, , 0.42, 0.11, , , , , 0.87, ,
468, 0.24, 0.50, 5.54, 0.04, 0.24, 0.07, , , , , 0.55, 0.11,
469, 0.06, 0.15, 2.16, 0.02, 0.14, 0.02, 0.01, , , , 0.21, 0.04,
484, 0.04, 0.26, 6.61, 0.05, 5.53, 0.44, 0.15, , , 0.04, 0.15, ,
485, 0.03, 1.07, 11.01, 0.03, 2.20, 0.10, 0.44, , , , 0.04, 0.07,
487, , 0.67, 11.29, 0.07, 3.25, 0.05, 0.44, , , 0.10, 0.05, 0.03,
488, , 0.21, 3.51, 0.02, 0.94, 0.02, 0.12, , , 0.02, 0.02, ,
489, , 0.23, 3.33, 0.01, 0.88, 0.02, 0.14, , 0.05, 0.04, , ,
490, , 0.23, 5.45, 0.04, 4.34, 0.33, 0.17, , , 0.03, 0.02, ,
491, , 0.01, 0.62, , 0.29, 0.03, , , , , 0.01, ,
495, , 0.14, 9.75, 0.06, 0.91, 0.03, , , , , 0.17, 0.10,
496, , 0.09, 9.14, , 3.09, 0.07, , , , , 0.20, ,
497, , 0.10, 11.32, , 1.41, 0.10, , , , , 0.18, ,
498, , 0.05, 8.03, 0.01, 0.94, 0.06, , , , , 0.14, ,
499, , , 0.36, , 0.07, , , , , , , ,
500, , , 0.02, , 0.01, 0.01, , , , , , ,
501, , , 3.74, 0.11, 1.94, 0.01, , , , , , ,
502, , , Tr, , Tr, , , , , , , ,
509, , 0.16, 4.55, 0.04, 4.19, 0.35, 0.11, , , , 0.05, ,
511, , 0.01, 1.11, 0.02, 4.82, 0.11, , , , , , ,
512, 0.05, 0.10, 1.50, , 0.11, 0.04, , , , , 0.55, 0.04,
518, , , 0.01, , 0.01, Tr, , , , , , ,
520, , 0.29, 10.57, 0.04, 2.77, 0.19, , , , , , ,
521, , 0.18, 8.07, 0.03, 0.91, 0.13, , , , , , ,
522, , , 0.05, Tr, 0.08, , , , , , , ,
523, , , 0.92, , 0.17, , , , , , , ,
524, , 0.04, 6.24, 0.14, 13.86, 1.43, , , , , , 0.17,
525, , , 7.81, , 2.01, 0.12, , , , , , ,
526, 0.04, 0.24, 2.64, 0.01, 0.16, 0.03, 0.01, , 0.01, , 0.18, 0.03,
527, , 0.02, 0.95, Tr, 1.36, 0.13, Tr, Tr, , Tr, , 0.01,
528, , 0.20, 3.96, 0.05, 1.24, 0.06, 0.05, Tr, 0.02, , 0.06, ,
529, 0.10, 0.57, 7.32, 0.05, 2.88, 0.26, 0.07, , 0.02, 0.02, 0.40, ,
530, , 0.05, 2.39, 0.05, 3.22, 0.24, 0.04, , Tr, Tr, Tr, 0.06,
531, , 0.01, 0.89, , 1.33, 0.13, 0.01, 0.03, , 0.03, , ,
532, , 0.03, 0.44, , 0.08, 0.02, , , , , 0.03, ,
533, , , 0.22, , 0.26, Tr, , , , , , ,
534, 0.01, 0.07, 1.64, , 0.69, 0.10, Tr, , , , 0.04, Tr,
535, , 0.01, 1.25, 0.01, 1.44, 0.06, Tr, 0.02, , 0.02, , 0.02,
536, Tr, 0.09, 1.11, Tr, 0.07, 0.01, 0.03, , 0.02, , 0.18, 0.02,
537, 0.04, 0.19, 3.00, 0.02, 0.74, 0.08, 0.02, , 0.01, , 0.26, 0.01,
538, 0.03, 0.10, 2.05, 0.02, 0.91, 0.07, 0.04, , Tr, , 0.19, 0.01,
539, , 0.13, 2.69, 0.04, 1.25, 0.19, 0.05, , , , , ,
540, , 0.13, 2.41, 0.04, 1.35, 0.18, 0.02, , , , , ,
541, Tr, 0.26, 2.23, 0.02, 1.57, 0.11, 0.03, , Tr, , 0.01, ,
542, , 0.01, 0.25, Tr, 0.28, 0.01, , Tr, , , Tr, Tr,
543, , 0.16, 3.42, 0.08, 1.41, 0.16, 0.04, , , , 0.04, ,
544, 0.03, 0.11, 0.95, Tr, 0.18, 0.06, Tr, Tr, Tr, , 0.06, Tr,
545, , Tr, 1.75, 0.02, 3.46, 0.36, , , , , , 0.01,
546, , Tr, 0.02, , 0.07, 0.08, , , , , , ,
547, , 0.04, 2.02, 0.02, 3.60, 0.36, 0.04, , , , , 0.02,
548, , 0.03, 1.04, 0.01, 0.61, 0.03, 0.04, Tr, , , Tr, ,
549, , 0.01, 0.82, , 0.20, 0.03, , , , , , ,
550, , 0.01, 0.12, Tr, 0.03, , , , , , , ,
551, 0.08, 0.18, 2.64, 0.02, 0.17, 0.02, , , , , 0.30, 0.03,
552, , , 0.15, Tr, 0.04, Tr, , , , , , ,
553, 0.04, 0.21, 2.81, 0.02, 1.11, 0.12, , , , , 0.21, ,
554, , 0.34, 9.07, 0.17, 4.21, 0.30, 0.06, , , , 0.15, ,
555, , 0.44, 9.85, 0.19, 4.57, 0.32, 0.07, , , , 0.17, ,
556, , 0.03, 0.84, Tr, 0.94, 0.05, , Tr, , , 0.01, ,
557, , 0.03, 16.67, 0.45, 16.17, 0.04, , , , , , ,
558, , , 28.15, 0.79, 14.18, 0.06, , , , , , ,
559, , Tr, 0.08, Tr, 0.27, 0.04, , , , , , ,
560, , , 0.10, Tr, 0.15, 0.02, , , , , , ,
561, , Tr, 0.08, , 0.16, 0.14, , , , , , ,
562, , , 0.11, , 0.40, 0.49, , , , , , ,
563, , Tr, 0.05, Tr, 0.21, 0.10, , , , , , ,
564, , , 0.15, 0.01, 0.58, 0.28, , , , , , ,
565, , Tr, 0.06, , 0.11, 0.20, , , , , , ,
566, , Tr, 0.15, , 0.23, 0.41, , , , , , ,
567, , , 0.09, , 0.16, 0.11, , , , , , ,
568, Tr, Tr, 0.13, , 0.38, 0.47, , , , , , ,
569, , Tr, 0.03, , 0.09, 0.13, , , , , , ,
570, , Tr, 0.14, , 0.29, 0.46, , , , , , ,
571, , Tr, 0.04, Tr, 0.16, 0.07, , , , , , ,
572, , , 0.09, 0.01, 0.33, 0.14, , , , , , ,
573, , Tr, 0.06, Tr, 0.14, 0.19, , , , , , ,
574, , Tr, 0.16, , 0.34, 0.46, , , , , , ,
575, , 0.01, 1.42, 0.02, 2.71, 0.13, , , , , , ,
576, , Tr, 0.13, Tr, 0.86, 0.06, , , , , Tr, ,
577, , Tr, 0.14, Tr, 0.21, 0.04, , , , , , ,
578, Tr, Tr, 0.16, 0.01, 0.33, 0.09, , , , , , ,
579, , 0.01, 9.73, 0.26, 7.25, 0.02, , , , , , ,
580, , 0.02, 13.91, 0.41, 8.25, , , , , , , ,
582, , Tr, 0.25, 0.01, 0.58, 0.06, , , , , , 0.01,
583, , 0.02, 6.30, 0.05, 11.67, 1.23, , , , , , ,
584, , Tr, 0.51, Tr, 1.48, 0.20, , , , , , ,
585, , 0.02, 4.89, 0.33, 1.08, 0.57, , , , , , ,
586, , Tr, 1.82, 0.12, 0.40, 0.22, , , , , , ,
587, , 0.22, 31.95, 0.03, 16.17, 0.03, , , , , 0.10, 0.02,
588, , 0.13, 26.27, 0.08, 8.00, 0.08, , , , , 0.11, ,
589, , 0.18, 27.14, 0.04, 20.97, 0.04, , , , , , ,
590, , , 1.47, , 0.32, , , , , , , ,
591, , Tr, 1.15, Tr, 0.28, , , , , , , ,
593, , 0.07, 19.72, 0.09, 22.39, 0.16, , , , , , ,
594, , 0.03, 7.06, 0.04, 5.42, 19.81, , , , , , ,
595, , , 0.09, , 0.22, , , , , , , ,
596, , 0.32, 6.45, 0.01, 0.28, 0.08, , , , , , ,
597, , , 8.66, 0.09, 35.30, 8.82, , , , , , ,
